Target Name	Target Accession	Target Length	Query Name	Query Accession	Query Length	E-value	Score	Bias	Domain Index	Domain Count	Cond. E-value	Domain Ind. E-value	Domain Bit-score	Domain Bias	Query Ali. Start	Query Ali. End	Target Ali. Start	Target Ali. End	Target Env. Start	Target Env. End	Acc	Description	Mapped PDB(s)	Number of Identical Sequences
I1I8T9_BRADI	I1I8T9_BRADI	242	AvrRpt-cleavage	-	37	3.0e-25	98.6	5.3	2	2	5.9e-24	6.1e-19	78.4519882202148	0.36	1	37	171	206	171	206	0.97	Uncharacterized protein		0
A0A446YCV9_TRITD	A0A446YCV9_TRITD	129	AvrRpt-cleavage	-	37	5.6e-25	97.8	5.6	1	2	4.6e-06	0.48	21.1814594268799	0.78	2	35	5	35	4	37	0.85	Uncharacterized protein		0
A0A446YCV9_TRITD	A0A446YCV9_TRITD	129	AvrRpt-cleavage	-	37	5.6e-25	97.8	5.6	2	2	7.1e-24	7.4e-19	78.1887588500977	0.32	1	37	57	92	57	92	0.97	Uncharacterized protein		0
A0A446XDE9_TRITD	A0A446XDE9_TRITD	129	AvrRpt-cleavage	-	37	5.7e-25	97.7	5.6	1	2	4.6e-06	0.48	21.1814594268799	0.78	2	35	5	35	4	37	0.85	Uncharacterized protein		0
A0A446XDE9_TRITD	A0A446XDE9_TRITD	129	AvrRpt-cleavage	-	37	5.7e-25	97.7	5.6	2	2	7.1e-24	7.4e-19	78.1887588500977	0.32	1	37	57	92	57	92	0.97	Uncharacterized protein		0
M8A727_TRIUA	M8A727_TRIUA	129	AvrRpt-cleavage	-	37	5.7e-25	97.7	5.6	1	2	4.6e-06	0.48	21.1814594268799	0.78	2	35	5	35	4	37	0.85	Uncharacterized protein		0
M8A727_TRIUA	M8A727_TRIUA	129	AvrRpt-cleavage	-	37	5.7e-25	97.7	5.6	2	2	7.1e-24	7.4e-19	78.1887588500977	0.32	1	37	57	92	57	92	0.97	Uncharacterized protein		0
A0A2T7D9V3_9POAL	A0A2T7D9V3_9POAL	223	AvrRpt-cleavage	-	37	6.4e-25	97.6	6.4	1	2	4.2e-06	0.44	21.3147068023682	1.13	2	35	4	34	3	36	0.85	Uncharacterized protein		0
A0A2T7D9V3_9POAL	A0A2T7D9V3_9POAL	223	AvrRpt-cleavage	-	37	6.4e-25	97.6	6.4	2	2	5.2e-24	5.4e-19	78.6235275268555	0.36	1	37	151	186	151	186	0.97	Uncharacterized protein		0
A0A3L6PQ98_PANMI	A0A3L6PQ98_PANMI	225	AvrRpt-cleavage	-	37	6.6e-25	97.5	6.4	1	2	4.3e-06	0.45	21.2964267730713	1.13	2	35	4	34	3	36	0.85	RPM1-interacting protein 4 isoform X2		0
A0A3L6PQ98_PANMI	A0A3L6PQ98_PANMI	225	AvrRpt-cleavage	-	37	6.6e-25	97.5	6.4	2	2	5.3e-24	5.5e-19	78.6045761108398	0.36	1	37	151	186	151	186	0.97	RPM1-interacting protein 4 isoform X2		0
A0A2T7D9S0_9POAL	A0A2T7D9S0_9POAL	222	AvrRpt-cleavage	-	37	6.8e-25	97.5	6.3	1	2	4.6e-06	0.48	21.1822891235352	1.07	2	35	3	33	2	35	0.85	Uncharacterized protein		0
A0A2T7D9S0_9POAL	A0A2T7D9S0_9POAL	222	AvrRpt-cleavage	-	37	6.8e-25	97.5	6.3	2	2	5.2e-24	5.4e-19	78.6330795288086	0.36	1	37	150	185	150	185	0.97	Uncharacterized protein		0
A0A3L6RLX8_PANMI	A0A3L6RLX8_PANMI	227	AvrRpt-cleavage	-	37	6.9e-25	97.5	6.5	1	2	4.4e-06	0.46	21.2620162963867	1.15	2	35	4	34	3	36	0.85	RPM1-interacting protein 4 isoform X2		0
A0A3L6RLX8_PANMI	A0A3L6RLX8_PANMI	227	AvrRpt-cleavage	-	37	6.9e-25	97.5	6.5	2	2	5.3e-24	5.6e-19	78.5858612060547	0.36	1	37	153	188	153	188	0.97	RPM1-interacting protein 4 isoform X2		0
A0A1B6PIP3_SORBI	A0A1B6PIP3_SORBI	222	AvrRpt-cleavage	-	37	1.1e-24	96.8	5.2	1	2	1.0e-05	1.1	20.0671234130859	0.71	2	35	4	34	3	36	0.84	AvrRpt-cleavage domain-containing protein		0
A0A1B6PIP3_SORBI	A0A1B6PIP3_SORBI	222	AvrRpt-cleavage	-	37	1.1e-24	96.8	5.2	2	2	6.7e-24	6.9e-19	78.2782363891602	0.29	1	37	147	182	147	182	0.97	AvrRpt-cleavage domain-containing protein		0
A0A1E5WAF1_9POAL	A0A1E5WAF1_9POAL	222	AvrRpt-cleavage	-	37	1.9e-24	96.1	5.4	1	2	1.9e-05	2	19.2275505065918	0.66	2	35	3	33	2	35	0.84	RPM1-interacting protein 4 (Fragment)		0
A0A1E5WAF1_9POAL	A0A1E5WAF1_9POAL	222	AvrRpt-cleavage	-	37	1.9e-24	96.1	5.4	2	2	5.2e-24	5.4e-19	78.6330795288086	0.36	1	37	150	185	150	185	0.97	RPM1-interacting protein 4 (Fragment)		0
A0A446YCW6_TRITD	A0A446YCW6_TRITD	226	AvrRpt-cleavage	-	37	3.4e-24	95.3	5.4	1	2	1.1e-05	1.1	20.0046939849854	0.71	2	35	5	35	4	37	0.84	AvrRpt-cleavage domain-containing protein		0
A0A446YCW6_TRITD	A0A446YCW6_TRITD	226	AvrRpt-cleavage	-	37	3.4e-24	95.3	5.4	2	2	1.8e-23	1.9e-18	76.878532409668	0.32	1	37	154	189	154	189	0.96	AvrRpt-cleavage domain-containing protein		0
A0A446YD00_TRITD	A0A446YD00_TRITD	225	AvrRpt-cleavage	-	37	3.5e-24	95.2	5.4	1	2	1.1e-05	1.1	20.0064563751221	0.71	2	35	5	35	4	37	0.84	AvrRpt-cleavage domain-containing protein		0
A0A446YD00_TRITD	A0A446YD00_TRITD	225	AvrRpt-cleavage	-	37	3.5e-24	95.2	5.4	2	2	1.8e-23	1.9e-18	76.8879013061523	0.32	1	37	153	188	153	188	0.96	AvrRpt-cleavage domain-containing protein		0
A0A287WIK9_HORVV	A0A287WIK9_HORVV	226	AvrRpt-cleavage	-	37	3.6e-24	95.2	5.4	1	2	1.1e-05	1.1	20.0046939849854	0.71	2	35	4	34	3	36	0.84	AvrRpt-cleavage domain-containing protein		0
A0A287WIK9_HORVV	A0A287WIK9_HORVV	226	AvrRpt-cleavage	-	37	3.6e-24	95.2	5.4	2	2	1.8e-23	1.9e-18	76.878532409668	0.32	1	37	154	189	154	189	0.96	AvrRpt-cleavage domain-containing protein		0
F2DWN8_HORVV	F2DWN8_HORVV	246	AvrRpt-cleavage	-	37	3.7e-24	95.2	5.2	1	2	1.2e-05	1.2	19.8911800384521	0.65	2	35	5	35	4	37	0.84	Predicted protein		0
F2DWN8_HORVV	F2DWN8_HORVV	246	AvrRpt-cleavage	-	37	3.7e-24	95.2	5.2	2	2	2.1e-23	2.2e-18	76.7016372680664	0.32	1	37	174	209	174	209	0.96	Predicted protein		0
A0A287WIR0_HORVV	A0A287WIR0_HORVV	247	AvrRpt-cleavage	-	37	3.7e-24	95.1	5.2	1	2	1.2e-05	1.2	19.8831005096436	0.65	2	35	6	36	5	38	0.84	AvrRpt-cleavage domain-containing protein		0
A0A287WIR0_HORVV	A0A287WIR0_HORVV	247	AvrRpt-cleavage	-	37	3.7e-24	95.1	5.2	2	2	2.1e-23	2.2e-18	76.6932754516602	0.32	1	37	175	210	175	210	0.96	AvrRpt-cleavage domain-containing protein		0
A0A453RM08_AEGTS	A0A453RM08_AEGTS	226	AvrRpt-cleavage	-	37	3.8e-24	95.1	5.4	1	2	1.1e-05	1.1	20.0046939849854	0.71	2	35	4	34	3	36	0.84	AvrRpt-cleavage domain-containing protein		0
A0A453RM08_AEGTS	A0A453RM08_AEGTS	226	AvrRpt-cleavage	-	37	3.8e-24	95.1	5.4	2	2	1.8e-23	1.9e-18	76.878532409668	0.32	1	37	154	189	154	189	0.96	AvrRpt-cleavage domain-containing protein		0
A0A5J9T127_9POAL	A0A5J9T127_9POAL	262	AvrRpt-cleavage	-	37	3.8e-24	95.1	5.0	1	2	2.3e-05	2.4	18.9707069396973	0.59	2	35	4	34	3	36	0.84	AvrRpt-cleavage domain-containing protein (Fragment)		0
A0A5J9T127_9POAL	A0A5J9T127_9POAL	262	AvrRpt-cleavage	-	37	3.8e-24	95.1	5.0	2	2	1.0e-23	1.1e-18	77.6446762084961	0.31	1	37	178	213	178	213	0.97	AvrRpt-cleavage domain-containing protein (Fragment)		0
A0A446YCV1_TRITD	A0A446YCV1_TRITD	244	AvrRpt-cleavage	-	37	4.1e-24	95.0	5.3	1	2	1.2e-05	1.2	19.8873558044434	0.67	2	35	5	35	4	37	0.84	AvrRpt-cleavage domain-containing protein		0
A0A446YCV1_TRITD	A0A446YCV1_TRITD	244	AvrRpt-cleavage	-	37	4.1e-24	95.0	5.3	2	2	2.0e-23	2.1e-18	76.7184600830078	0.32	1	37	172	207	172	207	0.96	AvrRpt-cleavage domain-containing protein		0
A0A3B6SI25_WHEAT	A0A3B6SI25_WHEAT	244	AvrRpt-cleavage	-	37	4.1e-24	95.0	5.3	1	2	1.2e-05	1.2	19.8873558044434	0.67	2	35	5	35	4	37	0.84	AvrRpt-cleavage domain-containing protein		0
A0A3B6SI25_WHEAT	A0A3B6SI25_WHEAT	244	AvrRpt-cleavage	-	37	4.1e-24	95.0	5.3	2	2	2.0e-23	2.1e-18	76.7184600830078	0.32	1	37	172	207	172	207	0.96	AvrRpt-cleavage domain-containing protein		0
A0A446YD36_TRITD	A0A446YD36_TRITD	244	AvrRpt-cleavage	-	37	4.1e-24	95.0	5.3	1	2	1.2e-05	1.2	19.8873558044434	0.67	2	35	5	35	4	37	0.84	AvrRpt-cleavage domain-containing protein		0
A0A446YD36_TRITD	A0A446YD36_TRITD	244	AvrRpt-cleavage	-	37	4.1e-24	95.0	5.3	2	2	2.0e-23	2.1e-18	76.7184600830078	0.32	1	37	172	207	172	207	0.96	AvrRpt-cleavage domain-containing protein		0
A0A446XDG0_TRITD	A0A446XDG0_TRITD	244	AvrRpt-cleavage	-	37	4.2e-24	95.0	5.3	1	2	1.2e-05	1.2	19.8873558044434	0.67	2	35	5	35	4	37	0.84	AvrRpt-cleavage domain-containing protein		0
A0A446XDG0_TRITD	A0A446XDG0_TRITD	244	AvrRpt-cleavage	-	37	4.2e-24	95.0	5.3	2	2	2.0e-23	2.1e-18	76.7184600830078	0.32	1	37	172	207	172	207	0.96	AvrRpt-cleavage domain-containing protein		0
A0A446XDE7_TRITD	A0A446XDE7_TRITD	244	AvrRpt-cleavage	-	37	4.2e-24	95.0	5.3	1	2	1.2e-05	1.2	19.8873558044434	0.67	2	35	5	35	4	37	0.84	AvrRpt-cleavage domain-containing protein		0
A0A446XDE7_TRITD	A0A446XDE7_TRITD	244	AvrRpt-cleavage	-	37	4.2e-24	95.0	5.3	2	2	2.0e-23	2.1e-18	76.7184600830078	0.32	1	37	172	207	172	207	0.96	AvrRpt-cleavage domain-containing protein		0
A0A3B6RES2_WHEAT	A0A3B6RES2_WHEAT	244	AvrRpt-cleavage	-	37	4.2e-24	95.0	5.3	1	2	1.2e-05	1.2	19.8873558044434	0.67	2	35	5	35	4	37	0.84	AvrRpt-cleavage domain-containing protein		0
A0A3B6RES2_WHEAT	A0A3B6RES2_WHEAT	244	AvrRpt-cleavage	-	37	4.2e-24	95.0	5.3	2	2	2.0e-23	2.1e-18	76.7184600830078	0.32	1	37	172	207	172	207	0.96	AvrRpt-cleavage domain-containing protein		0
A0A3B6RI71_WHEAT	A0A3B6RI71_WHEAT	247	AvrRpt-cleavage	-	37	4.2e-24	95.0	5.2	1	2	1.2e-05	1.2	19.8831005096436	0.65	2	35	8	38	7	40	0.84	AvrRpt-cleavage domain-containing protein		0
A0A3B6RI71_WHEAT	A0A3B6RI71_WHEAT	247	AvrRpt-cleavage	-	37	4.2e-24	95.0	5.2	2	2	2.1e-23	2.2e-18	76.6932754516602	0.32	1	37	175	210	175	210	0.96	AvrRpt-cleavage domain-containing protein		0
A0A446XDE5_TRITD	A0A446XDE5_TRITD	247	AvrRpt-cleavage	-	37	4.2e-24	95.0	5.2	1	2	1.2e-05	1.2	19.8831005096436	0.65	2	35	8	38	7	40	0.84	AvrRpt-cleavage domain-containing protein		0
A0A446XDE5_TRITD	A0A446XDE5_TRITD	247	AvrRpt-cleavage	-	37	4.2e-24	95.0	5.2	2	2	2.1e-23	2.2e-18	76.6932754516602	0.32	1	37	175	210	175	210	0.96	AvrRpt-cleavage domain-containing protein		0
A0A453RM55_AEGTS	A0A453RM55_AEGTS	244	AvrRpt-cleavage	-	37	4.3e-24	94.9	5.3	1	2	1.2e-05	1.2	19.8873558044434	0.67	2	35	5	35	4	37	0.84	AvrRpt-cleavage domain-containing protein		0
A0A453RM55_AEGTS	A0A453RM55_AEGTS	244	AvrRpt-cleavage	-	37	4.3e-24	94.9	5.3	2	2	2.0e-23	2.1e-18	76.7184600830078	0.32	1	37	172	207	172	207	0.96	AvrRpt-cleavage domain-containing protein		0
A0A453RME7_AEGTS	A0A453RME7_AEGTS	244	AvrRpt-cleavage	-	37	4.3e-24	94.9	5.3	1	2	1.2e-05	1.2	19.8873558044434	0.67	2	35	5	35	4	37	0.84	AvrRpt-cleavage domain-containing protein		0
A0A453RME7_AEGTS	A0A453RME7_AEGTS	244	AvrRpt-cleavage	-	37	4.3e-24	94.9	5.3	2	2	2.0e-23	2.1e-18	76.7184600830078	0.32	1	37	172	207	172	207	0.96	AvrRpt-cleavage domain-containing protein		0
A0A3B6TIS4_WHEAT	A0A3B6TIS4_WHEAT	244	AvrRpt-cleavage	-	37	4.3e-24	94.9	5.3	1	2	1.2e-05	1.2	19.8873558044434	0.67	2	35	5	35	4	37	0.84	AvrRpt-cleavage domain-containing protein		0
A0A3B6TIS4_WHEAT	A0A3B6TIS4_WHEAT	244	AvrRpt-cleavage	-	37	4.3e-24	94.9	5.3	2	2	2.0e-23	2.1e-18	76.7184600830078	0.32	1	37	172	207	172	207	0.96	AvrRpt-cleavage domain-containing protein		0
A0A3B6TQ93_WHEAT	A0A3B6TQ93_WHEAT	242	AvrRpt-cleavage	-	37	4.8e-24	94.8	5.2	1	2	1.3e-05	1.4	19.724552154541	0.65	2	35	3	33	2	35	0.84	AvrRpt-cleavage domain-containing protein		0
A0A3B6TQ93_WHEAT	A0A3B6TQ93_WHEAT	242	AvrRpt-cleavage	-	37	4.8e-24	94.8	5.2	2	2	2.0e-23	2.1e-18	76.735481262207	0.32	1	37	170	205	170	205	0.96	AvrRpt-cleavage domain-containing protein		0
A0A3B6SIZ0_WHEAT	A0A3B6SIZ0_WHEAT	301	AvrRpt-cleavage	-	37	6.9e-24	94.3	5.1	1	2	1.5e-05	1.6	19.5465755462646	0.60	2	35	5	35	4	37	0.84	AvrRpt-cleavage domain-containing protein		0
A0A3B6SIZ0_WHEAT	A0A3B6SIZ0_WHEAT	301	AvrRpt-cleavage	-	37	6.9e-24	94.3	5.1	2	2	2.8e-23	2.9e-18	76.2976760864258	0.32	1	37	172	207	172	207	0.96	AvrRpt-cleavage domain-containing protein		0
A0A4U6U9N4_SETVI	A0A4U6U9N4_SETVI	233	AvrRpt-cleavage	-	37	7.6e-24	94.2	5.4	1	2	2.0e-05	2.1	19.1635456085205	0.63	2	35	4	34	3	36	0.84	AvrRpt-cleavage domain-containing protein		0
A0A4U6U9N4_SETVI	A0A4U6U9N4_SETVI	233	AvrRpt-cleavage	-	37	7.6e-24	94.2	5.4	2	2	1.9e-23	2.0e-18	76.8008422851562	0.38	1	37	160	195	160	195	0.97	AvrRpt-cleavage domain-containing protein		0
K3YJH0_SETIT	K3YJH0_SETIT	233	AvrRpt-cleavage	-	37	7.6e-24	94.2	5.4	1	2	2.0e-05	2.1	19.1635456085205	0.63	2	35	4	34	3	36	0.84	AvrRpt-cleavage domain-containing protein		0
K3YJH0_SETIT	K3YJH0_SETIT	233	AvrRpt-cleavage	-	37	7.6e-24	94.2	5.4	2	2	1.9e-23	2.0e-18	76.8008422851562	0.38	1	37	160	195	160	195	0.97	AvrRpt-cleavage domain-containing protein		0
A0A4V6D5P4_SETVI	A0A4V6D5P4_SETVI	234	AvrRpt-cleavage	-	37	7.6e-24	94.1	5.4	1	2	2.0e-05	2.1	19.1554164886475	0.63	2	35	5	35	4	37	0.84	AvrRpt-cleavage domain-containing protein		0
A0A4V6D5P4_SETVI	A0A4V6D5P4_SETVI	234	AvrRpt-cleavage	-	37	7.6e-24	94.1	5.4	2	2	1.9e-23	2.0e-18	76.791877746582	0.38	1	37	161	196	161	196	0.97	AvrRpt-cleavage domain-containing protein		0
K3YJG8_SETIT	K3YJG8_SETIT	234	AvrRpt-cleavage	-	37	7.6e-24	94.1	5.4	1	2	2.0e-05	2.1	19.1554164886475	0.63	2	35	5	35	4	37	0.84	AvrRpt-cleavage domain-containing protein		0
K3YJG8_SETIT	K3YJG8_SETIT	234	AvrRpt-cleavage	-	37	7.6e-24	94.1	5.4	2	2	1.9e-23	2.0e-18	76.791877746582	0.38	1	37	161	196	161	196	0.97	AvrRpt-cleavage domain-containing protein		0
A0A0E0LX45_ORYPU	A0A0E0LX45_ORYPU	252	AvrRpt-cleavage	-	37	7.8e-24	94.1	5.8	1	2	1.4e-05	1.5	19.6201763153076	1.05	3	35	8	37	6	39	0.84	AvrRpt-cleavage domain-containing protein		0
A0A0E0LX45_ORYPU	A0A0E0LX45_ORYPU	252	AvrRpt-cleavage	-	37	7.8e-24	94.1	5.8	2	2	2.8e-23	2.9e-18	76.2931900024414	0.26	1	37	180	215	180	215	0.97	AvrRpt-cleavage domain-containing protein		0
A0A0E0CEA4_9ORYZ	A0A0E0CEA4_9ORYZ	235	AvrRpt-cleavage	-	37	1.0e-23	93.7	4.9	1	2	3.0e-05	3.1	18.5971965789795	0.64	3	35	7	36	5	38	0.83	AvrRpt-cleavage domain-containing protein		0
A0A0E0CEA4_9ORYZ	A0A0E0CEA4_9ORYZ	235	AvrRpt-cleavage	-	37	1.0e-23	93.7	4.9	2	2	2.5e-23	2.6e-18	76.4376449584961	0.26	1	37	153	188	153	188	0.97	AvrRpt-cleavage domain-containing protein		0
A0A0E0CEA3_9ORYZ	A0A0E0CEA3_9ORYZ	239	AvrRpt-cleavage	-	37	1.0e-23	93.7	4.9	1	2	3.1e-05	3.2	18.563362121582	0.64	3	35	7	36	5	38	0.83	AvrRpt-cleavage domain-containing protein		0
A0A0E0CEA3_9ORYZ	A0A0E0CEA3_9ORYZ	239	AvrRpt-cleavage	-	37	1.0e-23	93.7	4.9	2	2	2.6e-23	2.7e-18	76.4024658203125	0.26	1	37	153	188	153	188	0.97	AvrRpt-cleavage domain-containing protein		0
A0A0E0AXX4_9ORYZ	A0A0E0AXX4_9ORYZ	234	AvrRpt-cleavage	-	37	1.0e-23	93.7	4.9	1	2	3.0e-05	3.1	18.6005821228027	0.65	3	35	7	36	5	38	0.83	AvrRpt-cleavage domain-containing protein		0
A0A0E0AXX4_9ORYZ	A0A0E0AXX4_9ORYZ	234	AvrRpt-cleavage	-	37	1.0e-23	93.7	4.9	2	2	2.5e-23	2.6e-18	76.4465789794922	0.26	1	37	154	189	154	189	0.97	AvrRpt-cleavage domain-containing protein		0
A0A0D9XA04_9ORYZ	A0A0D9XA04_9ORYZ	233	AvrRpt-cleavage	-	37	1.1e-23	93.7	5.0	1	2	2.8e-05	2.9	18.707218170166	0.68	3	35	8	37	6	39	0.83	AvrRpt-cleavage domain-containing protein		0
A0A0D9XA04_9ORYZ	A0A0D9XA04_9ORYZ	233	AvrRpt-cleavage	-	37	1.1e-23	93.7	5.0	2	2	2.5e-23	2.6e-18	76.4555358886719	0.26	1	37	156	191	156	191	0.97	AvrRpt-cleavage domain-containing protein		0
J3MUL6_ORYBR	J3MUL6_ORYBR	298	AvrRpt-cleavage	-	37	1.1e-23	93.6	5.7	1	2	4.0e-05	4.2	18.1798896789551	0.93	2	37	5	37	4	37	0.83	RING-type domain-containing protein		0
J3MUL6_ORYBR	J3MUL6_ORYBR	298	AvrRpt-cleavage	-	37	1.1e-23	93.6	5.7	2	2	7.7e-24	8.1e-19	78.0727157592773	0.32	1	37	36	71	36	71	0.97	RING-type domain-containing protein		0
Q0J4A3_ORYSJ	Q0J4A3_ORYSJ	252	AvrRpt-cleavage	-	37	1.2e-23	93.5	4.8	1	2	3.2e-05	3.3	18.5034580230713	0.60	3	35	7	36	5	38	0.83	Os08g0526400 protein		0
Q0J4A3_ORYSJ	Q0J4A3_ORYSJ	252	AvrRpt-cleavage	-	37	1.2e-23	93.5	4.8	2	2	2.8e-23	2.9e-18	76.2931900024414	0.26	1	37	172	207	172	207	0.97	Os08g0526400 protein		0
A0A0D3H2D9_9ORYZ	A0A0D3H2D9_9ORYZ	281	AvrRpt-cleavage	-	37	1.4e-23	93.4	4.7	1	2	3.6e-05	3.8	18.3241329193115	0.56	3	35	7	36	5	38	0.83	AvrRpt-cleavage domain-containing protein		0
A0A0D3H2D9_9ORYZ	A0A0D3H2D9_9ORYZ	281	AvrRpt-cleavage	-	37	1.4e-23	93.4	4.7	2	2	3.2e-23	3.4e-18	76.0736236572266	0.26	1	37	172	207	172	207	0.97	AvrRpt-cleavage domain-containing protein		0
A0A0D3H2D8_9ORYZ	A0A0D3H2D8_9ORYZ	288	AvrRpt-cleavage	-	37	1.5e-23	93.2	4.7	1	2	3.8e-05	3.9	18.27707862854	0.56	3	35	7	36	5	38	0.83	AvrRpt-cleavage domain-containing protein		0
A0A0D3H2D8_9ORYZ	A0A0D3H2D8_9ORYZ	288	AvrRpt-cleavage	-	37	1.5e-23	93.2	4.7	2	2	3.4e-23	3.5e-18	76.0249252319336	0.26	1	37	172	207	172	207	0.97	AvrRpt-cleavage domain-containing protein		0
A0A0E0QLH2_ORYRU	A0A0E0QLH2_ORYRU	285	AvrRpt-cleavage	-	37	1.6e-23	93.1	4.7	1	2	3.7e-05	3.9	18.2970600128174	0.56	3	35	7	36	5	38	0.83	AvrRpt-cleavage domain-containing protein		0
A0A0E0QLH2_ORYRU	A0A0E0QLH2_ORYRU	285	AvrRpt-cleavage	-	37	1.6e-23	93.1	4.7	2	2	3.3e-23	3.5e-18	76.0456008911133	0.26	1	37	172	207	172	207	0.97	AvrRpt-cleavage domain-containing protein		0
A0A6G1CDP2_9ORYZ	A0A6G1CDP2_9ORYZ	239	AvrRpt-cleavage	-	37	1.6e-23	93.1	4.8	1	2	2.9e-05	3	18.6540851593018	0.68	3	35	7	36	5	38	0.83	AvrRpt-cleavage domain-containing protein		0
A0A6G1CDP2_9ORYZ	A0A6G1CDP2_9ORYZ	239	AvrRpt-cleavage	-	37	1.6e-23	93.1	4.8	2	2	4.1e-23	4.3e-18	75.7446517944336	0.23	1	37	165	200	165	200	0.97	AvrRpt-cleavage domain-containing protein		0
A0A0Q3RFV2_BRADI	A0A0Q3RFV2_BRADI	241	AvrRpt-cleavage	-	37	2.7e-23	92.4	4.1	1	2	1.7e-05	1.8	19.3923740386963	0.06	6	35	6	34	2	35	0.92	AvrRpt-cleavage domain-containing protein		0
A0A0Q3RFV2_BRADI	A0A0Q3RFV2_BRADI	241	AvrRpt-cleavage	-	37	2.7e-23	92.4	4.1	2	2	2.3e-22	2.4e-17	73.3276596069336	1.31	1	37	170	206	170	206	0.98	AvrRpt-cleavage domain-containing protein		0
A0A0E0IEV1_ORYNI	A0A0E0IEV1_ORYNI	394	AvrRpt-cleavage	-	37	3.5e-23	92.0	4.5	1	2	5.5e-05	5.7	17.7559375762939	0.51	3	35	7	36	5	38	0.82	AvrRpt-cleavage domain-containing protein		0
A0A0E0IEV1_ORYNI	A0A0E0IEV1_ORYNI	394	AvrRpt-cleavage	-	37	3.5e-23	92.0	4.5	2	2	5.2e-23	5.4e-18	75.4303359985352	0.26	1	37	172	207	172	207	0.97	AvrRpt-cleavage domain-containing protein		0
A0A0Q3GLT6_BRADI	A0A0Q3GLT6_BRADI	252	AvrRpt-cleavage	-	37	3.6e-23	92.0	4.4	1	2	1.6e-05	1.7	19.4627723693848	0.08	6	35	17	45	12	46	0.91	AvrRpt-cleavage domain-containing protein		0
A0A0Q3GLT6_BRADI	A0A0Q3GLT6_BRADI	252	AvrRpt-cleavage	-	37	3.6e-23	92.0	4.4	2	2	2.5e-22	2.6e-17	73.2348556518555	1.31	1	37	181	217	181	217	0.98	AvrRpt-cleavage domain-containing protein		0
A2YXA3_ORYSI	A2YXA3_ORYSI	449	AvrRpt-cleavage	-	37	4.1e-23	91.8	4.3	1	2	6.2e-05	6.5	17.5793514251709	0.45	3	35	7	36	5	38	0.82	RING-type domain-containing protein		0
A2YXA3_ORYSI	A2YXA3_ORYSI	449	AvrRpt-cleavage	-	37	4.1e-23	91.8	4.3	2	2	6.1e-23	6.4e-18	75.1942520141602	0.26	1	37	172	207	172	207	0.97	RING-type domain-containing protein		0
